council,person
name,"council (note: if blank, attendance questioned)"
Gratus bishop of Carthage,345Carth
Felice Bajanensi,345Carth
Fortunatiano Raptano,345Carth
Crescente Vagensi,345Carth
Vindiciano Lacobricensi,345Carth
Abundantio Adrumetino,345Carth
Privato Vegesilitano,345Carth
Gaudentio Tusdritano,345Carth
Patricio Sincensi,345Carth
Quieto Uticensi,345Carth
Rumulo Tebestensi,345Carth
et ceteris,345Carth
in text,
Elpidophorus Cuiculitanus,345Carth
Antigonus ep. Maginensis,345Carth
,
Genethlius bishop,390Carth
Victore Abdiritano,390Carth
alio Victore Puppianensi,390Carth
caeteris coepiscopis suis provinciarum diversarum,390Carth
others in text:,
Epigonius eps Bullensium regionum,390Carth
Numidius eps Maxulitanus,390Carth
Felix eps Selemselitanus,390Carth
,
in text:,
Aurelius eps,393Hippo
Epigonius eps,393Hippo
quoted:,
Honoratus,393Hippo
?Elesius,
,
Genedius bishop,397Carth
Victore Abderitano,397Carth
alio Victore Pupputanensi,397Carth
ceteris coepiscopis suis,
in text:,
Aurelius,397Carth
Mizonius,397Carth
Cresconius Villeregiensis,
Honoratus,397Carth
Urbanus,397Carth
in subscription list (see Munier pp. 47-49 for mss.):,397Carth
Aurelius,397Carth
Mizonius,397Carth
Victorianus eps Masclianensis,397Carth
Ninus eps Iubaltianensis,397Carth
Lupianus eps Tambeitanae,397Carth
Filologius eps Adrumetinae,397Carth
Ferox eps Macrianensis,397Carth
"Comitius eps Macotanae (p.48, other ms)",397Carth
,
,
,
Aurelius bishop of Carthage,397Carth2
Epigonius bishop of the region of Bullensis,397Carth2
"Augustine bishop ""plebis Hipponae Regiensis""",397Carth2
44 total,397Carth2
in subscription list (see Munier pp. 48-49),
Aurelius,397Carth2
Victor,397Carth2
Felix,397Carth2
Numidius,397Carth2
Epigonius,397Carth2
Honoratus,397Carth2
Vitalis,397Carth2
Maximus,397Carth2
Rusticianus,397Carth2
Donatus,397Carth2
Elesius,397Carth2
Reginus,397Carth2
Palatinus,397Carth2
Honoratus,397Carth2
Victorianus,397Carth2
Postumianus,397Carth2
Victor,397Carth2
Bonifatius,397Carth2
Felix,397Carth2
Restitutus,397Carth2
Bonifatius,397Carth2
Donatus,397Carth2
Ferox,397Carth2
Antorus,397Carth2
Basilius,397Carth2
Restitutus,397Carth2
Pascasius,397Carth2
Victor,397Carth2
Augustinus,397Carth2
et reliqui (numero 43),
,
Donatianus ciuitatis Theleptensis,418Thel
Ianuari[an]o,418Thel
Felice,418Thel
Secundo,418Thel
Cyrio,418Thel
Victore,418Thel
Secundiano,418Thel
Geta,418Thel
Eunomio,418Thel
Maximiano,418Thel
Donato,418Thel
Cresconio,418Thel
Iocundo,418Thel
Sopatro,418Thel
Restituto,418Thel
Iuliano,418Thel
Maximino,418Thel
Romano,418Thel
Tertiolo,418Thel
Milico,418Thel
Maximo,418Thel
Donatiano,418Thel
Basilio,418Thel
Pa[m]piniano,418Thel
Ianuario,418Thel
Porphyrio,418Thel
item Porphyrio,418Thel
Donato,418Thel
Iuliano,418Thel
Tuto,418Thel
Fortunio,418Thel
Quintiano,418Thel
Capione,418Thel
ceteris episcopis,
Vincentio,418Thel
Fortunatiano,418Thel
et reliqua…,
in text,
Tertiolus,IgnByz
,
Aurelius,418Carth
Donatiano Teleptensi,418Carth
"aliis ducentis tribus coepiscopis (ex Bizacena, Mauritania Sitifensis, Tripolitana, Numidia, Mauritania Caesariensi, Hispania)",
,
in exordium (deleted here if also in subscr):,
"legatis diuersarum prouinciarum Africanarum (two from Numidia, Bizacena, Mauritania sitifensis and Mauritania Caesariensis and also Tripolim and:",
ceteris episcopis prouinciae Proconsularis ccxvii,
in text (deleted here if also subsc):,
Danihel notarius,419Carth
Marianus,419Carth
subscriptions:,
Aurelius,419Carth
Valentinus,419Carth
Faustinus,419Carth
Alypius,419Carth
Augustinus,419Carth
Possidius,419Carth
Vincentius,419Carth
Fortunatianus,419Carth
Pentadius,419Carth
Rufinianus,419Carth
Praetextatus,419Carth
Quoduultdeus,419Carth
Candidus,419Carth
Gallonianus,419Carth
