council,person
390Carth,GenethliusCarthaginensis
390Carth,VictorAbziritanus
390Carth,VictorPuppianensis
390Carth,EpigoniusBullensiumregiorum
390Carth,NumidiusMaxulitanus
390Carth,FelixSelemselitanus
393Hippo,AureliusCarthaginensis
393Hippo,EpigoniusBullensiumregiorum
393Hippo,ElesiusIgnoti
397Carth,AureliusCarthaginensis
397Carth,MizoniusByzacenae
397Carth,CresconiusVilleregiensis
397Carth,HonoratusMauretaniaeSitifensis
397Carth,UrbanusMauretaniaeSitifensis
397Carth,AureliusCarthaginensis
397Carth,MizoniusByzacenae
397Carth,VictorianusMasclianensis
397Carth,NinusIubaltianensis
397Carth,LupianusTambeitanus
397Carth,PhilologiusAdrumetinus
397Carth,FeroxMacrianensis
397Carth,ComitiusMacotanae
397Carth2,AureliusCarthaginensis
397Carth2,VictorIgnoti1
397Carth2,FeroxMacrianensis
397Carth2,NumidiusMaxulitanus
397Carth2,EpigoniusBullensiumregiorum
397Carth2,HonoratusMauretaniaeSitifensis
397Carth2,VitalisIgnoti
397Carth2,MaximusIgnoti
397Carth2,RusticianusThabracensis
397Carth2,DonatusIgnoti
397Carth2,ElesiusIgnoti
397Carth2,ReginusIgnoti
397Carth2,PalatinusBosetensis
397Carth2,HonoratusIgnoti
397Carth2,VictorianusMasclianensis
397Carth2,PostumianusThagorensis
397Carth2,VictorIgnoti2
397Carth2,BonifatiusIgnoti
397Carth2,FelixVisicensis
397Carth2,RestitutusSalulitanus
397Carth2,BonifatiusIgnoti2
397Carth2,DonatusIgnoti2
397Carth2,FeroxMacrianensis
397Carth2,AntorusIgnoti
397Carth2,BasiliusAltiburitanus
397Carth2,RestitutusIgnoti
397Carth2,PascasiusAnguiensis
397Carth2,VictorIgnoti3
397Carth2,AugustinusHipponensis
418Thel,DonatianusTheleptensis
418Thel,IanuarianusTubulbacensis
418Thel,FelixSegermitensis
418Thel,SecundusByzacenae
418Thel,CyriusProconsularis
418Thel,VictorBahannensis
418Thel,SecundianusByzacenae
418Thel,GetaIubaltianensis
418Thel,EunomiusMarazanensis
418Thel,MaximianusByzacenae
418Thel,DonatusByzacenae
418Thel,CresconiusTemonianensis
418Thel,IucundusSufetulensis
418Thel,SopaterByzacenae
418Thel,RestitutusMuzucensis
418Thel,IulianusTasbaltensis
418Thel,MaximinusSufetanus
418Thel,RomanusLeptiminensis
418Thel,TertiolusByzacenae
418Thel,MilicusTagamutesis
418Thel,MaximusByzacenae
418Thel,DonatianusZellensis
418Thel,BasiliusAltiburitanus
418Thel,PampinianusVitensis
418Thel,IanuarianusCenculianensis
418Thel,PorphyriusByzacenae
418Thel,PorphyriusByzacenae2
418Thel,DonatusByzacenae2
418Thel,IulianusTasbaltensis
418Thel,TutusByzacenae
418Thel,FortuniusByzacenae
418Thel,QuintianusByzacenae
418Thel,CapioByzacenae
418Thel,VincentiusCulusitanus
418Thel,FortunatianusNeapolitanus
IgnByz,TertiolusByzacenae
418Carth,AureliusCarthaginensis
418Carth,DonatianusTheleptensis
419Carth,MarianusUzipparitanus
419Carth,AureliusCarthaginensis
419Carth,ValentinusNumidiae
419Carth,FaustinusPotentinus
